ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,DATE,VALIDON,VALIDTO,AREA_SQKM
Tahtay Adiyabo,ET010101,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,2909.334229
Laelay Adiabo,ET010102,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,568.3842773
Zana,ET010103,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,571.1055298
Tahtay Koraro,ET010104,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,860.7522583
Asgede,ET010105,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,1567.555542
Tselemti,ET010106,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,1927.800415
Sheraro town,ET010107,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,72.34791565
Indasilassie town,ET010108,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,14.63075256
Selekleka,ET010109,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,399.4499817
Seyemti Adyabo,ET010110,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,708.9910278
Adi Daero,ET010111,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,101.5009232
Adi Hageray,ET010112,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,908.6430664
Tsimbla,ET010113,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,1003.40918
Endabaguna town,ET010114,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,3.144866467
Dima (TG),ET010115,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,852.6361084
May Tsebri town,ET010116,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,4.345901012
Chila,ET010201,Central,ET0102,Tigray,ET01,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,590.5275879
Aheferom,ET010202,Central,ET0102,Tigray,ET01,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,459.7741394
Edaga arbi,ET010203,Central,ET0102,Tigray,ET01,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,330.6622314
Adwa,ET010204,Central,ET0102,Tigray,ET01,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,658.322998
Laelay Maychew,ET010205,Central,ET0102,Tigray,ET01,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,473.1737061
Tahtay Mayechew,ET010206,Central,ET0102,Tigray,ET01,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,363.9963379
Adet,ET010207,Central,ET0102,Tigray,ET01,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,613.7058105
Kola Temben,ET010208,Central,ET0102,Tigray,ET01,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,718.0180664
Naeder,ET010209,Central,ET0102,Tigray,ET01,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,489.6244507
Abergele (TG),ET010210,Central,ET0102,Tigray,ET01,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,1126.83313
Abi Adi town,ET010211,Central,ET0102,Tigray,ET01,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,19.71368027
Adwa town,ET010212,Central,ET0102,Tigray,ET01,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,27.30457115
Axum town,ET010213,Central,ET0102,Tigray,ET01,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,18.13282013
Rama,ET010214,Central,ET0102,Tigray,ET01,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,478.5181885
Ahsea,ET010215,Central,ET0102,Tigray,ET01,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,361.9158325
Egela,ET010216,Central,ET0102,Tigray,ET01,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,671.0821533
Hahayle,ET010217,Central,ET0102,Tigray,ET01,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,205.0079651
Endafelasi,ET010218,Central,ET0102,Tigray,ET01,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,461.2694397
Emba Sieneti,ET010219,Central,ET0102,Tigray,ET01,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,395.6880493
Enticho town,ET010220,Central,ET0102,Tigray,ET01,Ethiopia,ET,2021-12-09 00:00:00,2021-12-14 00:00:00,,3.85170722
